Index	X	Left to Right	X	Right to Left	X	Sum
0	1899/12/30	0	1899/12/30	0	1899/12/30	0
1	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0
2	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0
3	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0
4	1899/12/30 0:00:40	0	1899/12/30 0:00:40	0	1899/12/30 0:00:40	0
5	1899/12/30 0:00:50	0	1899/12/30 0:00:50	0	1899/12/30 0:00:50	0
6	1899/12/30 0:01:00	1	1899/12/30 0:01:00	0	1899/12/30 0:01:00	1
7	1899/12/30 0:01:10	4	1899/12/30 0:01:10	3	1899/12/30 0:01:10	7
8	1899/12/30 0:01:20	1	1899/12/30 0:01:20	1	1899/12/30 0:01:20	2
9	1899/12/30 0:01:30	0	1899/12/30 0:01:30	0	1899/12/30 0:01:30	0
10	1899/12/30 0:01:40	1	1899/12/30 0:01:40	0	1899/12/30 0:01:40	1
11	1899/12/30 0:01:50	3	1899/12/30 0:01:50	2	1899/12/30 0:01:50	5
12	1899/12/30 0:02:00	1	1899/12/30 0:02:00	2	1899/12/30 0:02:00	3
13	1899/12/30 0:02:10	1	1899/12/30 0:02:10	1	1899/12/30 0:02:10	2
14	1899/12/30 0:02:20	4	1899/12/30 0:02:20	0	1899/12/30 0:02:20	4
15	1899/12/30 0:02:30	6	1899/12/30 0:02:30	4	1899/12/30 0:02:30	10
16	1899/12/30 0:02:40	5	1899/12/30 0:02:40	6	1899/12/30 0:02:40	11
17	1899/12/30 0:02:50	7	1899/12/30 0:02:50	0	1899/12/30 0:02:50	7
18	1899/12/30 0:03:00	11	1899/12/30 0:03:00	3	1899/12/30 0:03:00	14
19	1899/12/30 0:03:10	3	1899/12/30 0:03:10	5	1899/12/30 0:03:10	8
20	1899/12/30 0:03:20	4	1899/12/30 0:03:20	2	1899/12/30 0:03:20	6
21	1899/12/30 0:03:30	5	1899/12/30 0:03:30	1	1899/12/30 0:03:30	6
22	1899/12/30 0:03:40	4	1899/12/30 0:03:40	4	1899/12/30 0:03:40	8
23	1899/12/30 0:03:50	5	1899/12/30 0:03:50	3	1899/12/30 0:03:50	8
24	1899/12/30 0:04:00	5	1899/12/30 0:04:00	5	1899/12/30 0:04:00	10
25	1899/12/30 0:04:10	5	1899/12/30 0:04:10	0	1899/12/30 0:04:10	5
