Index	X	Left to Right	X	Right to Left	X	Sum
0	1899/12/30	0	1899/12/30	0	1899/12/30	0
1	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0
2	1899/12/30 0:00:20	1	1899/12/30 0:00:20	0	1899/12/30 0:00:20	1
3	1899/12/30 0:00:30	11	1899/12/30 0:00:30	0	1899/12/30 0:00:30	11
4	1899/12/30 0:00:40	8	1899/12/30 0:00:40	0	1899/12/30 0:00:40	8
5	1899/12/30 0:00:50	17	1899/12/30 0:00:50	0	1899/12/30 0:00:50	17
6	1899/12/30 0:01:00	12	1899/12/30 0:01:00	0	1899/12/30 0:01:00	12
7	1899/12/30 0:01:10	12	1899/12/30 0:01:10	0	1899/12/30 0:01:10	12
8	1899/12/30 0:01:20	15	1899/12/30 0:01:20	0	1899/12/30 0:01:20	15
9	1899/12/30 0:01:30	18	1899/12/30 0:01:30	0	1899/12/30 0:01:30	18
10	1899/12/30 0:01:40	20	1899/12/30 0:01:40	0	1899/12/30 0:01:40	20
11	1899/12/30 0:01:50	19	1899/12/30 0:01:50	0	1899/12/30 0:01:50	19
12	1899/12/30 0:02:00	11	1899/12/30 0:02:00	0	1899/12/30 0:02:00	11
13	1899/12/30 0:02:10	16	1899/12/30 0:02:10	0	1899/12/30 0:02:10	16
14	1899/12/30 0:02:20	13	1899/12/30 0:02:20	0	1899/12/30 0:02:20	13
15	1899/12/30 0:02:30	18	1899/12/30 0:02:30	0	1899/12/30 0:02:30	18
16	1899/12/30 0:02:40	12	1899/12/30 0:02:40	0	1899/12/30 0:02:40	12
17	1899/12/30 0:02:50	12	1899/12/30 0:02:50	0	1899/12/30 0:02:50	12
18	1899/12/30 0:03:00	18	1899/12/30 0:03:00	0	1899/12/30 0:03:00	18
19	1899/12/30 0:03:10	11	1899/12/30 0:03:10	0	1899/12/30 0:03:10	11
20	1899/12/30 0:03:20	5	1899/12/30 0:03:20	0	1899/12/30 0:03:20	5
21	1899/12/30 0:03:30	17	1899/12/30 0:03:30	0	1899/12/30 0:03:30	17
22	1899/12/30 0:03:40	12	1899/12/30 0:03:40	0	1899/12/30 0:03:40	12
23	1899/12/30 0:03:50	11	1899/12/30 0:03:50	0	1899/12/30 0:03:50	11
24	1899/12/30 0:04:00	11	1899/12/30 0:04:00	0	1899/12/30 0:04:00	11
25	1899/12/30 0:04:10	12	1899/12/30 0:04:10	0	1899/12/30 0:04:10	12
