Index	X	Left to Right	X	Right to Left	X	Sum
67	1899/12/30 0:11:10	6	1899/12/30 0:11:10	8	1899/12/30 0:11:10	14
68	1899/12/30 0:11:20	1	1899/12/30 0:11:20	15	1899/12/30 0:11:20	16
69	1899/12/30 0:11:30	3	1899/12/30 0:11:30	15	1899/12/30 0:11:30	18
70	1899/12/30 0:11:40	2	1899/12/30 0:11:40	14	1899/12/30 0:11:40	16
71	1899/12/30 0:11:50	4	1899/12/30 0:11:50	21	1899/12/30 0:11:50	25
72	1899/12/30 0:12:00	3	1899/12/30 0:12:00	11	1899/12/30 0:12:00	14
73	1899/12/30 0:12:10	2	1899/12/30 0:12:10	11	1899/12/30 0:12:10	13
74	1899/12/30 0:12:20	2	1899/12/30 0:12:20	13	1899/12/30 0:12:20	15
75	1899/12/30 0:12:30	2	1899/12/30 0:12:30	9	1899/12/30 0:12:30	11
76	1899/12/30 0:12:40	2	1899/12/30 0:12:40	23	1899/12/30 0:12:40	25
77	1899/12/30 0:12:50	1	1899/12/30 0:12:50	15	1899/12/30 0:12:50	16
78	1899/12/30 0:13:00	6	1899/12/30 0:13:00	16	1899/12/30 0:13:00	22
79	1899/12/30 0:13:10	3	1899/12/30 0:13:10	12	1899/12/30 0:13:10	15
80	1899/12/30 0:13:20	2	1899/12/30 0:13:20	13	1899/12/30 0:13:20	15
81	1899/12/30 0:13:30	4	1899/12/30 0:13:30	17	1899/12/30 0:13:30	21
82	1899/12/30 0:13:40	7	1899/12/30 0:13:40	6	1899/12/30 0:13:40	13
83	1899/12/30 0:13:50	1	1899/12/30 0:13:50	10	1899/12/30 0:13:50	11
84	1899/12/30 0:14:00	9	1899/12/30 0:14:00	11	1899/12/30 0:14:00	20
85	1899/12/30 0:14:10	1	1899/12/30 0:14:10	2	1899/12/30 0:14:10	3
86	1899/12/30 0:14:20	9	1899/12/30 0:14:20	4	1899/12/30 0:14:20	13
87	1899/12/30 0:14:30	5	1899/12/30 0:14:30	3	1899/12/30 0:14:30	8
88	1899/12/30 0:14:40	4	1899/12/30 0:14:40	9	1899/12/30 0:14:40	13
89	1899/12/30 0:14:50	3	1899/12/30 0:14:50	3	1899/12/30 0:14:50	6
90	1899/12/30 0:15:00	6	1899/12/30 0:15:00	1	1899/12/30 0:15:00	7
91	1899/12/30 0:15:10	5	1899/12/30 0:15:10	0	1899/12/30 0:15:10	5
92	1899/12/30 0:15:20	6	1899/12/30 0:15:20	3	1899/12/30 0:15:20	9
93	1899/12/30 0:15:30	4	1899/12/30 0:15:30	2	1899/12/30 0:15:30	6
94	1899/12/30 0:15:40	1	1899/12/30 0:15:40	5	1899/12/30 0:15:40	6
95	1899/12/30 0:15:50	1	1899/12/30 0:15:50	2	1899/12/30 0:15:50	3
96	1899/12/30 0:16:00	5	1899/12/30 0:16:00	4	1899/12/30 0:16:00	9
97	1899/12/30 0:16:10	2	1899/12/30 0:16:10	2	1899/12/30 0:16:10	4
98	1899/12/30 0:16:20	2	1899/12/30 0:16:20	1	1899/12/30 0:16:20	3
99	1899/12/30 0:16:30	5	1899/12/30 0:16:30	2	1899/12/30 0:16:30	7
100	1899/12/30 0:16:40	5	1899/12/30 0:16:40	0	1899/12/30 0:16:40	5
101	1899/12/30 0:16:50	2	1899/12/30 0:16:50	1	1899/12/30 0:16:50	3
102	1899/12/30 0:17:00	1	1899/12/30 0:17:00	0	1899/12/30 0:17:00	1
103	1899/12/30 0:17:10	3	1899/12/30 0:17:10	0	1899/12/30 0:17:10	3
104	1899/12/30 0:17:20	3	1899/12/30 0:17:20	0	1899/12/30 0:17:20	3
105	1899/12/30 0:17:30	2	1899/12/30 0:17:30	0	1899/12/30 0:17:30	2
106	1899/12/30 0:17:40	3	1899/12/30 0:17:40	0	1899/12/30 0:17:40	3
107	1899/12/30 0:17:50	15	1899/12/30 0:17:50	0	1899/12/30 0:17:50	15
108	1899/12/30 0:18:00	15	1899/12/30 0:18:00	0	1899/12/30 0:18:00	15
109	1899/12/30 0:18:10	29	1899/12/30 0:18:10	0	1899/12/30 0:18:10	29
110	1899/12/30 0:18:20	23	1899/12/30 0:18:20	0	1899/12/30 0:18:20	23
111	1899/12/30 0:18:30	12	1899/12/30 0:18:30	0	1899/12/30 0:18:30	12
112	1899/12/30 0:18:40	21	1899/12/30 0:18:40	0	1899/12/30 0:18:40	21
113	1899/12/30 0:18:50	25	1899/12/30 0:18:50	0	1899/12/30 0:18:50	25
114	1899/12/30 0:19:00	12	1899/12/30 0:19:00	0	1899/12/30 0:19:00	12
115	1899/12/30 0:19:10	17	1899/12/30 0:19:10	2	1899/12/30 0:19:10	19
116	1899/12/30 0:19:20	34	1899/12/30 0:19:20	5	1899/12/30 0:19:20	39
117	1899/12/30 0:19:30	15	1899/12/30 0:19:30	1	1899/12/30 0:19:30	16
118	1899/12/30 0:19:40	8	1899/12/30 0:19:40	9	1899/12/30 0:19:40	17
119	1899/12/30 0:19:50	6	1899/12/30 0:19:50	2	1899/12/30 0:19:50	8
120	1899/12/30 0:20:00	15	1899/12/30 0:20:00	7	1899/12/30 0:20:00	22
121	1899/12/30 0:20:10	6	1899/12/30 0:20:10	12	1899/12/30 0:20:10	18
122	1899/12/30 0:20:20	11	1899/12/30 0:20:20	16	1899/12/30 0:20:20	27
123	1899/12/30 0:20:30	15	1899/12/30 0:20:30	13	1899/12/30 0:20:30	28
124	1899/12/30 0:20:40	16	1899/12/30 0:20:40	16	1899/12/30 0:20:40	32
125	1899/12/30 0:20:50	5	1899/12/30 0:20:50	17	1899/12/30 0:20:50	22
126	1899/12/30 0:21:00	7	1899/12/30 0:21:00	20	1899/12/30 0:21:00	27
127	1899/12/30 0:21:10	1	1899/12/30 0:21:10	16	1899/12/30 0:21:10	17
128	1899/12/30 0:21:20	2	1899/12/30 0:21:20	13	1899/12/30 0:21:20	15
129	1899/12/30 0:21:30	2	1899/12/30 0:21:30	13	1899/12/30 0:21:30	15
130	1899/12/30 0:21:40	0	1899/12/30 0:21:40	14	1899/12/30 0:21:40	14
131	1899/12/30 0:21:50	5	1899/12/30 0:21:50	17	1899/12/30 0:21:50	22
132	1899/12/30 0:22:00	7	1899/12/30 0:22:00	13	1899/12/30 0:22:00	20
133	1899/12/30 0:22:10	6	1899/12/30 0:22:10	17	1899/12/30 0:22:10	23
134	1899/12/30 0:22:20	5	1899/12/30 0:22:20	21	1899/12/30 0:22:20	26
135	1899/12/30 0:22:30	3	1899/12/30 0:22:30	17	1899/12/30 0:22:30	20
136	1899/12/30 0:22:40	3	1899/12/30 0:22:40	14	1899/12/30 0:22:40	17
137	1899/12/30 0:22:50	3	1899/12/30 0:22:50	11	1899/12/30 0:22:50	14
138	1899/12/30 0:23:00	2	1899/12/30 0:23:00	5	1899/12/30 0:23:00	7
139	1899/12/30 0:23:10	4	1899/12/30 0:23:10	3	1899/12/30 0:23:10	7
140	1899/12/30 0:23:20	4	1899/12/30 0:23:20	2	1899/12/30 0:23:20	6
141	1899/12/30 0:23:30	4	1899/12/30 0:23:30	1	1899/12/30 0:23:30	5
142	1899/12/30 0:23:40	5	1899/12/30 0:23:40	2	1899/12/30 0:23:40	7
143	1899/12/30 0:23:50	7	1899/12/30 0:23:50	5	1899/12/30 0:23:50	12
144	1899/12/30 0:24:00	6	1899/12/30 0:24:00	1	1899/12/30 0:24:00	7
145	1899/12/30 0:24:10	4	1899/12/30 0:24:10	2	1899/12/30 0:24:10	6
146	1899/12/30 0:24:20	4	1899/12/30 0:24:20	1	1899/12/30 0:24:20	5
147	1899/12/30 0:24:30	6	1899/12/30 0:24:30	0	1899/12/30 0:24:30	6
148	1899/12/30 0:24:40	7	1899/12/30 0:24:40	1	1899/12/30 0:24:40	8
149	1899/12/30 0:24:50	1	1899/12/30 0:24:50	3	1899/12/30 0:24:50	4
150	1899/12/30 0:25:00	4	1899/12/30 0:25:00	3	1899/12/30 0:25:00	7
