Index	X	Left to Right	X	Right to Left	X	Sum
0	1899/12/30	0	1899/12/30	0	1899/12/30	0
1	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0
2	1899/12/30 0:00:20	2	1899/12/30 0:00:20	0	1899/12/30 0:00:20	2
3	1899/12/30 0:00:30	4	1899/12/30 0:00:30	0	1899/12/30 0:00:30	4
4	1899/12/30 0:00:40	7	1899/12/30 0:00:40	0	1899/12/30 0:00:40	7
5	1899/12/30 0:00:50	5	1899/12/30 0:00:50	0	1899/12/30 0:00:50	5
6	1899/12/30 0:01:00	10	1899/12/30 0:01:00	0	1899/12/30 0:01:00	10
7	1899/12/30 0:01:10	8	1899/12/30 0:01:10	0	1899/12/30 0:01:10	8
8	1899/12/30 0:01:20	11	1899/12/30 0:01:20	0	1899/12/30 0:01:20	11
9	1899/12/30 0:01:30	5	1899/12/30 0:01:30	0	1899/12/30 0:01:30	5
10	1899/12/30 0:01:40	5	1899/12/30 0:01:40	0	1899/12/30 0:01:40	5
11	1899/12/30 0:01:50	9	1899/12/30 0:01:50	0	1899/12/30 0:01:50	9
12	1899/12/30 0:02:00	8	1899/12/30 0:02:00	0	1899/12/30 0:02:00	8
13	1899/12/30 0:02:10	5	1899/12/30 0:02:10	0	1899/12/30 0:02:10	5
14	1899/12/30 0:02:20	7	1899/12/30 0:02:20	0	1899/12/30 0:02:20	7
15	1899/12/30 0:02:30	6	1899/12/30 0:02:30	0	1899/12/30 0:02:30	6
16	1899/12/30 0:02:40	3	1899/12/30 0:02:40	0	1899/12/30 0:02:40	3
17	1899/12/30 0:02:50	5	1899/12/30 0:02:50	0	1899/12/30 0:02:50	5
18	1899/12/30 0:03:00	6	1899/12/30 0:03:00	0	1899/12/30 0:03:00	6
19	1899/12/30 0:03:10	7	1899/12/30 0:03:10	0	1899/12/30 0:03:10	7
20	1899/12/30 0:03:20	8	1899/12/30 0:03:20	0	1899/12/30 0:03:20	8
21	1899/12/30 0:03:30	7	1899/12/30 0:03:30	0	1899/12/30 0:03:30	7
22	1899/12/30 0:03:40	11	1899/12/30 0:03:40	0	1899/12/30 0:03:40	11
23	1899/12/30 0:03:50	7	1899/12/30 0:03:50	0	1899/12/30 0:03:50	7
24	1899/12/30 0:04:00	8	1899/12/30 0:04:00	0	1899/12/30 0:04:00	8
25	1899/12/30 0:04:10	5	1899/12/30 0:04:10	0	1899/12/30 0:04:10	5
