Index	X	Left to Right	X	Right to Left	X	Sum
0	1899/12/30	0	1899/12/30	0	1899/12/30	0
1	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0
2	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0
3	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0
4	1899/12/30 0:00:40	0	1899/12/30 0:00:40	0	1899/12/30 0:00:40	0
5	1899/12/30 0:00:50	1	1899/12/30 0:00:50	0	1899/12/30 0:00:50	1
6	1899/12/30 0:01:00	2	1899/12/30 0:01:00	2	1899/12/30 0:01:00	4
7	1899/12/30 0:01:10	1	1899/12/30 0:01:10	8	1899/12/30 0:01:10	9
8	1899/12/30 0:01:20	2	1899/12/30 0:01:20	7	1899/12/30 0:01:20	9
9	1899/12/30 0:01:30	1	1899/12/30 0:01:30	10	1899/12/30 0:01:30	11
10	1899/12/30 0:01:40	1	1899/12/30 0:01:40	13	1899/12/30 0:01:40	14
11	1899/12/30 0:01:50	1	1899/12/30 0:01:50	7	1899/12/30 0:01:50	8
12	1899/12/30 0:02:00	1	1899/12/30 0:02:00	7	1899/12/30 0:02:00	8
13	1899/12/30 0:02:10	1	1899/12/30 0:02:10	10	1899/12/30 0:02:10	11
14	1899/12/30 0:02:20	1	1899/12/30 0:02:20	4	1899/12/30 0:02:20	5
15	1899/12/30 0:02:30	6	1899/12/30 0:02:30	9	1899/12/30 0:02:30	15
16	1899/12/30 0:02:40	1	1899/12/30 0:02:40	5	1899/12/30 0:02:40	6
17	1899/12/30 0:02:50	1	1899/12/30 0:02:50	7	1899/12/30 0:02:50	8
18	1899/12/30 0:03:00	2	1899/12/30 0:03:00	13	1899/12/30 0:03:00	15
19	1899/12/30 0:03:10	2	1899/12/30 0:03:10	7	1899/12/30 0:03:10	9
20	1899/12/30 0:03:20	2	1899/12/30 0:03:20	10	1899/12/30 0:03:20	12
21	1899/12/30 0:03:30	1	1899/12/30 0:03:30	7	1899/12/30 0:03:30	8
22	1899/12/30 0:03:40	1	1899/12/30 0:03:40	6	1899/12/30 0:03:40	7
23	1899/12/30 0:03:50	2	1899/12/30 0:03:50	11	1899/12/30 0:03:50	13
24	1899/12/30 0:04:00	0	1899/12/30 0:04:00	7	1899/12/30 0:04:00	7
25	1899/12/30 0:04:10	2	1899/12/30 0:04:10	7	1899/12/30 0:04:10	9
