Index	X	Left to Right	X	Right to Left	X	Sum
0	1899/12/30	0	1899/12/30	0	1899/12/30	0
1	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0
2	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0
3	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0
4	1899/12/30 0:00:40	1	1899/12/30 0:00:40	0	1899/12/30 0:00:40	1
5	1899/12/30 0:00:50	2	1899/12/30 0:00:50	0	1899/12/30 0:00:50	2
6	1899/12/30 0:01:00	2	1899/12/30 0:01:00	0	1899/12/30 0:01:00	2
7	1899/12/30 0:01:10	1	1899/12/30 0:01:10	2	1899/12/30 0:01:10	3
8	1899/12/30 0:01:20	1	1899/12/30 0:01:20	5	1899/12/30 0:01:20	6
9	1899/12/30 0:01:30	1	1899/12/30 0:01:30	7	1899/12/30 0:01:30	8
10	1899/12/30 0:01:40	1	1899/12/30 0:01:40	11	1899/12/30 0:01:40	12
11	1899/12/30 0:01:50	1	1899/12/30 0:01:50	13	1899/12/30 0:01:50	14
12	1899/12/30 0:02:00	1	1899/12/30 0:02:00	6	1899/12/30 0:02:00	7
13	1899/12/30 0:02:10	1	1899/12/30 0:02:10	6	1899/12/30 0:02:10	7
14	1899/12/30 0:02:20	6	1899/12/30 0:02:20	10	1899/12/30 0:02:20	16
15	1899/12/30 0:02:30	2	1899/12/30 0:02:30	6	1899/12/30 0:02:30	8
16	1899/12/30 0:02:40	1	1899/12/30 0:02:40	7	1899/12/30 0:02:40	8
17	1899/12/30 0:02:50	3	1899/12/30 0:02:50	6	1899/12/30 0:02:50	9
18	1899/12/30 0:03:00	1	1899/12/30 0:03:00	7	1899/12/30 0:03:00	8
19	1899/12/30 0:03:10	1	1899/12/30 0:03:10	12	1899/12/30 0:03:10	13
20	1899/12/30 0:03:20	1	1899/12/30 0:03:20	9	1899/12/30 0:03:20	10
21	1899/12/30 0:03:30	2	1899/12/30 0:03:30	6	1899/12/30 0:03:30	8
22	1899/12/30 0:03:40	1	1899/12/30 0:03:40	11	1899/12/30 0:03:40	12
23	1899/12/30 0:03:50	0	1899/12/30 0:03:50	4	1899/12/30 0:03:50	4
24	1899/12/30 0:04:00	3	1899/12/30 0:04:00	12	1899/12/30 0:04:00	15
25	1899/12/30 0:04:10	3	1899/12/30 0:04:10	8	1899/12/30 0:04:10	11
