Index	X	Left to Right	X	Right to Left	X	Sum
0	1899/12/30	0	1899/12/30	0	1899/12/30	0
1	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0
2	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0
3	1899/12/30 0:00:30	1	1899/12/30 0:00:30	0	1899/12/30 0:00:30	1
4	1899/12/30 0:00:40	1	1899/12/30 0:00:40	0	1899/12/30 0:00:40	1
5	1899/12/30 0:00:50	7	1899/12/30 0:00:50	0	1899/12/30 0:00:50	7
6	1899/12/30 0:01:00	8	1899/12/30 0:01:00	0	1899/12/30 0:01:00	8
7	1899/12/30 0:01:10	10	1899/12/30 0:01:10	1	1899/12/30 0:01:10	11
8	1899/12/30 0:01:20	8	1899/12/30 0:01:20	0	1899/12/30 0:01:20	8
9	1899/12/30 0:01:30	10	1899/12/30 0:01:30	0	1899/12/30 0:01:30	10
10	1899/12/30 0:01:40	9	1899/12/30 0:01:40	0	1899/12/30 0:01:40	9
11	1899/12/30 0:01:50	10	1899/12/30 0:01:50	1	1899/12/30 0:01:50	11
12	1899/12/30 0:02:00	9	1899/12/30 0:02:00	0	1899/12/30 0:02:00	9
13	1899/12/30 0:02:10	5	1899/12/30 0:02:10	1	1899/12/30 0:02:10	6
14	1899/12/30 0:02:20	10	1899/12/30 0:02:20	2	1899/12/30 0:02:20	12
15	1899/12/30 0:02:30	8	1899/12/30 0:02:30	2	1899/12/30 0:02:30	10
16	1899/12/30 0:02:40	9	1899/12/30 0:02:40	3	1899/12/30 0:02:40	12
17	1899/12/30 0:02:50	9	1899/12/30 0:02:50	0	1899/12/30 0:02:50	9
18	1899/12/30 0:03:00	10	1899/12/30 0:03:00	2	1899/12/30 0:03:00	12
19	1899/12/30 0:03:10	5	1899/12/30 0:03:10	1	1899/12/30 0:03:10	6
20	1899/12/30 0:03:20	10	1899/12/30 0:03:20	0	1899/12/30 0:03:20	10
21	1899/12/30 0:03:30	4	1899/12/30 0:03:30	4	1899/12/30 0:03:30	8
22	1899/12/30 0:03:40	11	1899/12/30 0:03:40	0	1899/12/30 0:03:40	11
23	1899/12/30 0:03:50	14	1899/12/30 0:03:50	0	1899/12/30 0:03:50	14
24	1899/12/30 0:04:00	7	1899/12/30 0:04:00	0	1899/12/30 0:04:00	7
25	1899/12/30 0:04:10	6	1899/12/30 0:04:10	0	1899/12/30 0:04:10	6
