Index	X	Left to Right	X	Right to Left	X	Sum
0	1899/12/30	0	1899/12/30	0	1899/12/30	0
1	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0
2	1899/12/30 0:00:20	11	1899/12/30 0:00:20	0	1899/12/30 0:00:20	11
3	1899/12/30 0:00:30	8	1899/12/30 0:00:30	0	1899/12/30 0:00:30	8
4	1899/12/30 0:00:40	12	1899/12/30 0:00:40	0	1899/12/30 0:00:40	12
5	1899/12/30 0:00:50	14	1899/12/30 0:00:50	0	1899/12/30 0:00:50	14
6	1899/12/30 0:01:00	20	1899/12/30 0:01:00	0	1899/12/30 0:01:00	20
7	1899/12/30 0:01:10	9	1899/12/30 0:01:10	0	1899/12/30 0:01:10	9
8	1899/12/30 0:01:20	12	1899/12/30 0:01:20	0	1899/12/30 0:01:20	12
9	1899/12/30 0:01:30	16	1899/12/30 0:01:30	0	1899/12/30 0:01:30	16
10	1899/12/30 0:01:40	16	1899/12/30 0:01:40	0	1899/12/30 0:01:40	16
11	1899/12/30 0:01:50	7	1899/12/30 0:01:50	0	1899/12/30 0:01:50	7
12	1899/12/30 0:02:00	12	1899/12/30 0:02:00	0	1899/12/30 0:02:00	12
13	1899/12/30 0:02:10	14	1899/12/30 0:02:10	0	1899/12/30 0:02:10	14
14	1899/12/30 0:02:20	11	1899/12/30 0:02:20	0	1899/12/30 0:02:20	11
15	1899/12/30 0:02:30	14	1899/12/30 0:02:30	0	1899/12/30 0:02:30	14
16	1899/12/30 0:02:40	12	1899/12/30 0:02:40	0	1899/12/30 0:02:40	12
17	1899/12/30 0:02:50	15	1899/12/30 0:02:50	0	1899/12/30 0:02:50	15
18	1899/12/30 0:03:00	8	1899/12/30 0:03:00	0	1899/12/30 0:03:00	8
19	1899/12/30 0:03:10	14	1899/12/30 0:03:10	0	1899/12/30 0:03:10	14
20	1899/12/30 0:03:20	8	1899/12/30 0:03:20	0	1899/12/30 0:03:20	8
21	1899/12/30 0:03:30	13	1899/12/30 0:03:30	0	1899/12/30 0:03:30	13
22	1899/12/30 0:03:40	16	1899/12/30 0:03:40	0	1899/12/30 0:03:40	16
23	1899/12/30 0:03:50	12	1899/12/30 0:03:50	0	1899/12/30 0:03:50	12
24	1899/12/30 0:04:00	10	1899/12/30 0:04:00	0	1899/12/30 0:04:00	10
25	1899/12/30 0:04:10	13	1899/12/30 0:04:10	0	1899/12/30 0:04:10	13
