Index	X	Left to Right	X	Right to Left	X	Sum
0	1899/12/30	0	1899/12/30	0	1899/12/30	0
1	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0
2	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0
3	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0
4	1899/12/30 0:00:40	0	1899/12/30 0:00:40	0	1899/12/30 0:00:40	0
5	1899/12/30 0:00:50	5	1899/12/30 0:00:50	0	1899/12/30 0:00:50	5
6	1899/12/30 0:01:00	5	1899/12/30 0:01:00	1	1899/12/30 0:01:00	6
7	1899/12/30 0:01:10	7	1899/12/30 0:01:10	1	1899/12/30 0:01:10	8
8	1899/12/30 0:01:20	9	1899/12/30 0:01:20	1	1899/12/30 0:01:20	10
9	1899/12/30 0:01:30	9	1899/12/30 0:01:30	3	1899/12/30 0:01:30	12
10	1899/12/30 0:01:40	12	1899/12/30 0:01:40	0	1899/12/30 0:01:40	12
11	1899/12/30 0:01:50	7	1899/12/30 0:01:50	0	1899/12/30 0:01:50	7
12	1899/12/30 0:02:00	8	1899/12/30 0:02:00	2	1899/12/30 0:02:00	10
13	1899/12/30 0:02:10	8	1899/12/30 0:02:10	0	1899/12/30 0:02:10	8
14	1899/12/30 0:02:20	8	1899/12/30 0:02:20	0	1899/12/30 0:02:20	8
15	1899/12/30 0:02:30	9	1899/12/30 0:02:30	2	1899/12/30 0:02:30	11
16	1899/12/30 0:02:40	8	1899/12/30 0:02:40	1	1899/12/30 0:02:40	9
17	1899/12/30 0:02:50	13	1899/12/30 0:02:50	0	1899/12/30 0:02:50	13
18	1899/12/30 0:03:00	7	1899/12/30 0:03:00	2	1899/12/30 0:03:00	9
19	1899/12/30 0:03:10	19	1899/12/30 0:03:10	1	1899/12/30 0:03:10	20
20	1899/12/30 0:03:20	9	1899/12/30 0:03:20	3	1899/12/30 0:03:20	12
21	1899/12/30 0:03:30	9	1899/12/30 0:03:30	1	1899/12/30 0:03:30	10
22	1899/12/30 0:03:40	8	1899/12/30 0:03:40	1	1899/12/30 0:03:40	9
23	1899/12/30 0:03:50	14	1899/12/30 0:03:50	0	1899/12/30 0:03:50	14
24	1899/12/30 0:04:00	6	1899/12/30 0:04:00	1	1899/12/30 0:04:00	7
25	1899/12/30 0:04:10	7	1899/12/30 0:04:10	1	1899/12/30 0:04:10	8
