Index	X	Left to Right	X	Right to Left	X	Sum
0	1899/12/30	0	1899/12/30	0	1899/12/30	0
1	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0
2	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0
3	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0
4	1899/12/30 0:00:40	0	1899/12/30 0:00:40	0	1899/12/30 0:00:40	0
5	1899/12/30 0:00:50	3	1899/12/30 0:00:50	0	1899/12/30 0:00:50	3
6	1899/12/30 0:01:00	3	1899/12/30 0:01:00	1	1899/12/30 0:01:00	4
7	1899/12/30 0:01:10	3	1899/12/30 0:01:10	3	1899/12/30 0:01:10	6
8	1899/12/30 0:01:20	3	1899/12/30 0:01:20	4	1899/12/30 0:01:20	7
9	1899/12/30 0:01:30	1	1899/12/30 0:01:30	6	1899/12/30 0:01:30	7
10	1899/12/30 0:01:40	3	1899/12/30 0:01:40	7	1899/12/30 0:01:40	10
11	1899/12/30 0:01:50	3	1899/12/30 0:01:50	6	1899/12/30 0:01:50	9
12	1899/12/30 0:02:00	2	1899/12/30 0:02:00	6	1899/12/30 0:02:00	8
13	1899/12/30 0:02:10	0	1899/12/30 0:02:10	4	1899/12/30 0:02:10	4
14	1899/12/30 0:02:20	1	1899/12/30 0:02:20	4	1899/12/30 0:02:20	5
15	1899/12/30 0:02:30	3	1899/12/30 0:02:30	7	1899/12/30 0:02:30	10
16	1899/12/30 0:02:40	2	1899/12/30 0:02:40	8	1899/12/30 0:02:40	10
17	1899/12/30 0:02:50	2	1899/12/30 0:02:50	8	1899/12/30 0:02:50	10
18	1899/12/30 0:03:00	1	1899/12/30 0:03:00	8	1899/12/30 0:03:00	9
19	1899/12/30 0:03:10	2	1899/12/30 0:03:10	8	1899/12/30 0:03:10	10
20	1899/12/30 0:03:20	2	1899/12/30 0:03:20	5	1899/12/30 0:03:20	7
21	1899/12/30 0:03:30	1	1899/12/30 0:03:30	5	1899/12/30 0:03:30	6
22	1899/12/30 0:03:40	4	1899/12/30 0:03:40	10	1899/12/30 0:03:40	14
23	1899/12/30 0:03:50	5	1899/12/30 0:03:50	6	1899/12/30 0:03:50	11
24	1899/12/30 0:04:00	7	1899/12/30 0:04:00	10	1899/12/30 0:04:00	17
25	1899/12/30 0:04:10	1	1899/12/30 0:04:10	9	1899/12/30 0:04:10	10
