AgentID;ActivityID;TimeIn;TimeOut;xLoc;yLoc;zLoc;TotalDelayTime;TotalDistance;
74506;56;2071.2;2070;1.2036;64.3645;6.25;80.6364;149.4726;
94563;2;2296;2296;9.2203;115.7312;0;0;0;
94563;59;2414.2;2694;-4.8062;40.2326;6;3.0815;125.1447;
94563;53;2710.8;2730;-1.8296;37.658;6.25;13.0819;131.0923;
78307;56;2700;2745.6001;16.69;64.6;6;0;0;
78307;2;2845.8;2845.8;0.0639;114.7168;0;22.2196;95.2887;
77322;51;2400;2409.6001;-1.7899;20.4;6;0;0;
77322;13;2535.3999;2535.3999;25.4104;56.0428;6;33.2398;116.2392;
70449;58;300;324;16.8102;82.1;6;0;0;
70449;12;339.6;339.6;1.2727;73.6523;6;4.0725;19.3324;
74559;51;1680;1686;-9.79;20.4;6;0;0;
74559;59;1693.4;1855.2;-4.0298;24.4023;6;1.7097;8.9911;
74559;52;1870.8;1890;0.9893;29.3738;6.25;8.7626;17.4583;
79236;2;1032;1032;-5.8345;116.2405;0;0;0;
79236;52;1159;1170;24.3313;29.7917;6.25;12.8638;120.1232;
99175;2;2688;2688;10.1057;117.2294;0;0;0;
99175;59;2821.6001;3174;9.5529;21.0746;6;1.9569;140.0377;
99175;51;3181.2;3210;5.8193;20.1836;6.25;3.0782;143.9722;
71993;57;600;618;-1.7801;72.9;6;0;0;
71993;2;708.6;708.6;-0.3293;114.8485;0;2.6617;84.0826;
74107;2;576;576;5.3599;115.7772;0;0;0;
74107;59;811.2;1135.2;1.6769;26.8444;6;7.8751;196.1349;
74107;52;1158.4;1170;8.4667;29.6695;6.25;20.702;205.6085;
76484;53;1920;1965.6;5.7899;37.9;6;0;0;
76484;11;2051.3999;2051.3999;6.0923;28.7018;6;4.9986;106.1091;
78403;2;968;968;8.8563;115.7129;0;0;0;
78403;58;1104;1110;8.9526;82.2833;6.25;30.6786;103.8785;
81522;57;3480;3529.2;-9.7801;72.9;6;0;0;
73038;53;1200;1237.2;-9.71;37.9;6;0;0;
73038;2;1359.8;1359.8;-0.08;114.8339;0;4.3482;112.1059;
75561;52;1800;1839.6;8.68;29.6;6;0;0;
75561;59;2015.6;2084.3999;0.3059;75.0328;6;72.2858;148.4207;
75561;57;2104.3999;2130;5.6097;72.6958;6.25;84.4026;157.5414;
79854;52;3240;3286.8;8.68;29.6;6;0;0;
79854;1;3365.2;3365.2;0.41;2.6482;0;36.7943;73.3371;
74410;54;1320;1341.6;16.7001;47.1;6;0;0;
74410;2;1455.8;1455.8;0.0772;114.8941;0;7.6547;115.463;
78840;51;3120;3152.3999;-9.79;20.4;6;0;0;
78840;2;3285.3999;3285.3999;0.597;114.7311;0;32.6712;132.6728;
70644;58;300;340.8;16.8102;82.1;6;0;0;
70644;2;434.8;434.8;0.6104;114.8441;0;28.5003;71.574;
84420;2;1428;1428;-8.2621;116.4507;0;0;0;
84420;59;1497.2;1786.8;7.6455;76.6368;6;2.9923;105.6431;
84420;58;1818.2;1830;1.4698;82.3052;6.25;25.702;116.5677;
98161;2;2592;2592;-8.512;116.9827;0;0;0;
98161;59;2669.2;3238.8;16.9668;81.1781;6;2.8423;74.5804;
98161;58;3244.2;3270;16.7856;81.8453;6.25;5.3299;75.9247;
103876;2;3088;3088;8.2401;116.4313;0;0;0;
103876;55;3333.3999;3390;5.6454;55.3366;6.25;131.9067;146.8818;
69492;1;72;72;8.6558;0.867;0;0;0;
69492;59;135.6;414;13.2642;26.6187;6;15.1064;69.4925;
69492;52;430.6;450;16.5307;29.424;6.25;24.8787;76.0334;
80637;57;3480;3519.6001;-9.7801;72.9;6;0;0;
78339;56;2700;2712;24.19;64.6;6;0;0;
78339;2;2781.3999;2781.3999;0.2264;114.8422;0;8.2509;83.2634;
80496;58;3180;3182.3999;1.3103;82.1;6;0;0;
80496;59;3297;3600;-14.1196;21.4239;6;306.0872;137.7327;
81445;54;3480;3486;16.7001;47.1;6;0;0;
107791;2;3364;3364;-10.3078;115.874;0;0;0;
107791;59;3500.6001;3600;11.9991;61.2666;6;144.3282;107.6079;
74313;56;1260;1309.2;1.19;64.6;6;0;0;
