Index	X	Left to Right	X	Right to Left	X	Sum
67	1899/12/30 0:11:10	4	1899/12/30 0:11:10	3	1899/12/30 0:11:10	7
68	1899/12/30 0:11:20	2	1899/12/30 0:11:20	5	1899/12/30 0:11:20	7
69	1899/12/30 0:11:30	2	1899/12/30 0:11:30	0	1899/12/30 0:11:30	2
70	1899/12/30 0:11:40	5	1899/12/30 0:11:40	2	1899/12/30 0:11:40	7
71	1899/12/30 0:11:50	5	1899/12/30 0:11:50	6	1899/12/30 0:11:50	11
72	1899/12/30 0:12:00	4	1899/12/30 0:12:00	0	1899/12/30 0:12:00	4
73	1899/12/30 0:12:10	5	1899/12/30 0:12:10	3	1899/12/30 0:12:10	8
74	1899/12/30 0:12:20	3	1899/12/30 0:12:20	2	1899/12/30 0:12:20	5
75	1899/12/30 0:12:30	6	1899/12/30 0:12:30	1	1899/12/30 0:12:30	7
76	1899/12/30 0:12:40	16	1899/12/30 0:12:40	5	1899/12/30 0:12:40	21
77	1899/12/30 0:12:50	5	1899/12/30 0:12:50	2	1899/12/30 0:12:50	7
78	1899/12/30 0:13:00	5	1899/12/30 0:13:00	3	1899/12/30 0:13:00	8
79	1899/12/30 0:13:10	10	1899/12/30 0:13:10	3	1899/12/30 0:13:10	13
80	1899/12/30 0:13:20	9	1899/12/30 0:13:20	2	1899/12/30 0:13:20	11
81	1899/12/30 0:13:30	8	1899/12/30 0:13:30	2	1899/12/30 0:13:30	10
82	1899/12/30 0:13:40	3	1899/12/30 0:13:40	3	1899/12/30 0:13:40	6
83	1899/12/30 0:13:50	1	1899/12/30 0:13:50	0	1899/12/30 0:13:50	1
84	1899/12/30 0:14:00	1	1899/12/30 0:14:00	0	1899/12/30 0:14:00	1
85	1899/12/30 0:14:10	1	1899/12/30 0:14:10	0	1899/12/30 0:14:10	1
86	1899/12/30 0:14:20	1	1899/12/30 0:14:20	0	1899/12/30 0:14:20	1
87	1899/12/30 0:14:30	3	1899/12/30 0:14:30	0	1899/12/30 0:14:30	3
88	1899/12/30 0:14:40	5	1899/12/30 0:14:40	1	1899/12/30 0:14:40	6
89	1899/12/30 0:14:50	1	1899/12/30 0:14:50	0	1899/12/30 0:14:50	1
90	1899/12/30 0:15:00	1	1899/12/30 0:15:00	1	1899/12/30 0:15:00	2
91	1899/12/30 0:15:10	1	1899/12/30 0:15:10	1	1899/12/30 0:15:10	2
92	1899/12/30 0:15:20	2	1899/12/30 0:15:20	2	1899/12/30 0:15:20	4
93	1899/12/30 0:15:30	5	1899/12/30 0:15:30	0	1899/12/30 0:15:30	5
94	1899/12/30 0:15:40	2	1899/12/30 0:15:40	0	1899/12/30 0:15:40	2
95	1899/12/30 0:15:50	6	1899/12/30 0:15:50	1	1899/12/30 0:15:50	7
96	1899/12/30 0:16:00	3	1899/12/30 0:16:00	0	1899/12/30 0:16:00	3
97	1899/12/30 0:16:10	7	1899/12/30 0:16:10	1	1899/12/30 0:16:10	8
98	1899/12/30 0:16:20	8	1899/12/30 0:16:20	4	1899/12/30 0:16:20	12
99	1899/12/30 0:16:30	6	1899/12/30 0:16:30	8	1899/12/30 0:16:30	14
100	1899/12/30 0:16:40	7	1899/12/30 0:16:40	5	1899/12/30 0:16:40	12
101	1899/12/30 0:16:50	6	1899/12/30 0:16:50	3	1899/12/30 0:16:50	9
102	1899/12/30 0:17:00	21	1899/12/30 0:17:00	8	1899/12/30 0:17:00	29
103	1899/12/30 0:17:10	6	1899/12/30 0:17:10	12	1899/12/30 0:17:10	18
104	1899/12/30 0:17:20	6	1899/12/30 0:17:20	4	1899/12/30 0:17:20	10
105	1899/12/30 0:17:30	5	1899/12/30 0:17:30	6	1899/12/30 0:17:30	11
106	1899/12/30 0:17:40	5	1899/12/30 0:17:40	3	1899/12/30 0:17:40	8
107	1899/12/30 0:17:50	10	1899/12/30 0:17:50	9	1899/12/30 0:17:50	19
108	1899/12/30 0:18:00	5	1899/12/30 0:18:00	7	1899/12/30 0:18:00	12
109	1899/12/30 0:18:10	6	1899/12/30 0:18:10	20	1899/12/30 0:18:10	26
110	1899/12/30 0:18:20	6	1899/12/30 0:18:20	35	1899/12/30 0:18:20	41
111	1899/12/30 0:18:30	11	1899/12/30 0:18:30	36	1899/12/30 0:18:30	47
112	1899/12/30 0:18:40	7	1899/12/30 0:18:40	40	1899/12/30 0:18:40	47
113	1899/12/30 0:18:50	5	1899/12/30 0:18:50	39	1899/12/30 0:18:50	44
114	1899/12/30 0:19:00	45	1899/12/30 0:19:00	31	1899/12/30 0:19:00	76
115	1899/12/30 0:19:10	34	1899/12/30 0:19:10	13	1899/12/30 0:19:10	47
116	1899/12/30 0:19:20	25	1899/12/30 0:19:20	5	1899/12/30 0:19:20	30
117	1899/12/30 0:19:30	10	1899/12/30 0:19:30	3	1899/12/30 0:19:30	13
118	1899/12/30 0:19:40	4	1899/12/30 0:19:40	16	1899/12/30 0:19:40	20
119	1899/12/30 0:19:50	5	1899/12/30 0:19:50	5	1899/12/30 0:19:50	10
120	1899/12/30 0:20:00	2	1899/12/30 0:20:00	2	1899/12/30 0:20:00	4
121	1899/12/30 0:20:10	0	1899/12/30 0:20:10	0	1899/12/30 0:20:10	0
122	1899/12/30 0:20:20	0	1899/12/30 0:20:20	0	1899/12/30 0:20:20	0
123	1899/12/30 0:20:30	1	1899/12/30 0:20:30	0	1899/12/30 0:20:30	1
124	1899/12/30 0:20:40	0	1899/12/30 0:20:40	0	1899/12/30 0:20:40	0
125	1899/12/30 0:20:50	0	1899/12/30 0:20:50	0	1899/12/30 0:20:50	0
126	1899/12/30 0:21:00	1	1899/12/30 0:21:00	0	1899/12/30 0:21:00	1
127	1899/12/30 0:21:10	3	1899/12/30 0:21:10	0	1899/12/30 0:21:10	3
128	1899/12/30 0:21:20	0	1899/12/30 0:21:20	0	1899/12/30 0:21:20	0
129	1899/12/30 0:21:30	1	1899/12/30 0:21:30	0	1899/12/30 0:21:30	1
130	1899/12/30 0:21:40	2	1899/12/30 0:21:40	0	1899/12/30 0:21:40	2
131	1899/12/30 0:21:50	0	1899/12/30 0:21:50	0	1899/12/30 0:21:50	0
132	1899/12/30 0:22:00	0	1899/12/30 0:22:00	0	1899/12/30 0:22:00	0
133	1899/12/30 0:22:10	0	1899/12/30 0:22:10	0	1899/12/30 0:22:10	0
134	1899/12/30 0:22:20	1	1899/12/30 0:22:20	0	1899/12/30 0:22:20	1
135	1899/12/30 0:22:30	6	1899/12/30 0:22:30	4	1899/12/30 0:22:30	10
136	1899/12/30 0:22:40	1	1899/12/30 0:22:40	2	1899/12/30 0:22:40	3
137	1899/12/30 0:22:50	5	1899/12/30 0:22:50	2	1899/12/30 0:22:50	7
138	1899/12/30 0:23:00	8	1899/12/30 0:23:00	5	1899/12/30 0:23:00	13
139	1899/12/30 0:23:10	4	1899/12/30 0:23:10	5	1899/12/30 0:23:10	9
140	1899/12/30 0:23:20	3	1899/12/30 0:23:20	4	1899/12/30 0:23:20	7
141	1899/12/30 0:23:30	6	1899/12/30 0:23:30	2	1899/12/30 0:23:30	8
142	1899/12/30 0:23:40	1	1899/12/30 0:23:40	5	1899/12/30 0:23:40	6
143	1899/12/30 0:23:50	7	1899/12/30 0:23:50	2	1899/12/30 0:23:50	9
144	1899/12/30 0:24:00	1	1899/12/30 0:24:00	3	1899/12/30 0:24:00	4
145	1899/12/30 0:24:10	7	1899/12/30 0:24:10	2	1899/12/30 0:24:10	9
146	1899/12/30 0:24:20	3	1899/12/30 0:24:20	5	1899/12/30 0:24:20	8
147	1899/12/30 0:24:30	4	1899/12/30 0:24:30	4	1899/12/30 0:24:30	8
148	1899/12/30 0:24:40	9	1899/12/30 0:24:40	3	1899/12/30 0:24:40	12
149	1899/12/30 0:24:50	9	1899/12/30 0:24:50	9	1899/12/30 0:24:50	18
150	1899/12/30 0:25:00	10	1899/12/30 0:25:00	9	1899/12/30 0:25:00	19
151	1899/12/30 0:25:10	10	1899/12/30 0:25:10	0	1899/12/30 0:25:10	10
152	1899/12/30 0:25:20	11	1899/12/30 0:25:20	2	1899/12/30 0:25:20	13
153	1899/12/30 0:25:30	15	1899/12/30 0:25:30	9	1899/12/30 0:25:30	24
154	1899/12/30 0:25:40	13	1899/12/30 0:25:40	10	1899/12/30 0:25:40	23
155	1899/12/30 0:25:50	12	1899/12/30 0:25:50	11	1899/12/30 0:25:50	23
