Index	X	Left to Right	X	Right to Left	X	Sum
0	1899/12/30	0	1899/12/30	0	1899/12/30	0
1	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0	1899/12/30 0:00:10	0
2	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0	1899/12/30 0:00:20	0
3	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0	1899/12/30 0:00:30	0
4	1899/12/30 0:00:40	0	1899/12/30 0:00:40	0	1899/12/30 0:00:40	0
5	1899/12/30 0:00:50	0	1899/12/30 0:00:50	0	1899/12/30 0:00:50	0
6	1899/12/30 0:01:00	5	1899/12/30 0:01:00	0	1899/12/30 0:01:00	5
7	1899/12/30 0:01:10	2	1899/12/30 0:01:10	0	1899/12/30 0:01:10	2
8	1899/12/30 0:01:20	4	1899/12/30 0:01:20	0	1899/12/30 0:01:20	4
9	1899/12/30 0:01:30	8	1899/12/30 0:01:30	1	1899/12/30 0:01:30	9
10	1899/12/30 0:01:40	2	1899/12/30 0:01:40	0	1899/12/30 0:01:40	2
11	1899/12/30 0:01:50	6	1899/12/30 0:01:50	0	1899/12/30 0:01:50	6
12	1899/12/30 0:02:00	4	1899/12/30 0:02:00	2	1899/12/30 0:02:00	6
13	1899/12/30 0:02:10	7	1899/12/30 0:02:10	1	1899/12/30 0:02:10	8
14	1899/12/30 0:02:20	6	1899/12/30 0:02:20	0	1899/12/30 0:02:20	6
15	1899/12/30 0:02:30	4	1899/12/30 0:02:30	1	1899/12/30 0:02:30	5
16	1899/12/30 0:02:40	6	1899/12/30 0:02:40	1	1899/12/30 0:02:40	7
17	1899/12/30 0:02:50	1	1899/12/30 0:02:50	0	1899/12/30 0:02:50	1
18	1899/12/30 0:03:00	4	1899/12/30 0:03:00	0	1899/12/30 0:03:00	4
19	1899/12/30 0:03:10	4	1899/12/30 0:03:10	2	1899/12/30 0:03:10	6
20	1899/12/30 0:03:20	6	1899/12/30 0:03:20	2	1899/12/30 0:03:20	8
21	1899/12/30 0:03:30	6	1899/12/30 0:03:30	1	1899/12/30 0:03:30	7
22	1899/12/30 0:03:40	7	1899/12/30 0:03:40	1	1899/12/30 0:03:40	8
23	1899/12/30 0:03:50	7	1899/12/30 0:03:50	0	1899/12/30 0:03:50	7
24	1899/12/30 0:04:00	5	1899/12/30 0:04:00	1	1899/12/30 0:04:00	6
25	1899/12/30 0:04:10	4	1899/12/30 0:04:10	1	1899/12/30 0:04:10	5
